topic,score,id
technology_and_connections,78,2
Pokemon_Go,82,46
individual_destiny,85,33
AI_and_Schooling,80,7
cryptocurrency,76,117
democracy,81,50
income_based_fines,80,10
space_exploration,81,11
after_life,79,12
free_will,78,111
phy_edu,77,13
coedu,80,14
virtual_games,78,63
motor,77,16
aa,77,17
santa,82,19
alcohol,80,120
doraemon,81,123
TWindep,77,122
human_right,82,135
conservation,76,142
CNforce,79,124
Mars,79,28
gender_neutral,77,29
gender_gap,80,30
AIcrisis,79,127
spectre,77,32
aiprogress,81,25
youtube_profit,79,39
legalizing_marijuana,77,119
NTU_courseweeks,77,116
ractopamine_pork,79,128
referendum,77,114
chicken_eggs,77,113
girlfriend_mom,80,95
hawaii_pizza,79,98
good_evil,78,102
sex_love,79,49
lost_penny,79,106
cats_dogs,80,108
animal_research,87,52
capital_punishment,77,53
mandatory_vaccinations,83,58
keep_going_on_or_give_up,84,59
fortune_or_adversity,79,65
outcome_vs_process,79,66
standardized_testing,78,68
tourism,77,69
skills_and_connections,77,75
school_uniform_policies,79,73
same-sex_marriage,79,112
online_vs_traditional_learning,81,125
euthanasia,79,126
citizen_judge,81,129
plea,79,86
slave,82,93
ww2,77,96
taught-base,80,101
covid19,78,100
top_unv,82,104
academic,79,132
pizza,80,118
rain_conclusion,77,103
generativeAI,83,99
TWedu,83,97
house_tax,80,131
energy,82,92
bilingual,82,87
plastic,82,85
factcheck,79,81
master_thesis,81,80
remote_learn,78,76
ETalive,77,134
threeking,80,70
youtuber_apology,78,67
global_warm,83,64
nuclear,81,61
algal_reef,77,60
time_machine,81,57
breathe_underwater,80,51
